202tabanP;2021tabanY;2022tabanP;2022tabanY;2023tabanP;2023tabanY
490,6558;0,05;495;0,04;500;0,01
488,6887;0,06;495;0,04;500;0,01
486,3008;0,09;493,4272;0,05;497,4675;0,06
486;0,09;492,7264;0,08;497,4675;0,06
484,5656;0,1;490,4661;0,11;494,5027;0,08
481,1528;0,15;488,2011;0,15;494,2019;0,16
478,7778;0,19;488,2011;0,15;494,2019;0,16
473,4353;0,3;484,5187;0,27;491,7958;0,28
472,5563;0,32;483,5498;0,29;491,6694;0,29
471,2039;0,35;482,9747;0,32;490,154;0,33
469,5886;0,39;481,29;0,4;489,0049;0,36
469,1318;0,41;480,9362;0,41;489,0049;0,36
467,5045;0,45;478,0362;0,54;488,7046;0,41
465,1863;0,52;477,7487;0,56;488,7046;0,41
464;0,57;477,0763;0,59;488,7046;0,41
463,9355;0,56;476,9856;0,59;488,7046;0,41
462,4047;0,62;476,72;0,6;488,4034;0,53
461,7167;0,64;476,4013;0,63;488,4034;0,53
461,7041;0,64;476,3614;0,64;488,4034;0,53
461,2821;0,65;476,0879;0,65;488,4034;0,53
460,7873;0,67;475,6106;0,68;488,4034;0,53
459,9306;0,7;475,5323;0,68;487,2531;0,63
459,7876;0,71;475,4135;0,68;486,1814;0,68
458,8957;0,74;475;0,71;486,1721;0,68
458,1564;0,77;474,9224;0,73;486,1721;0,68
458;0,8;472,7874;0,86;485,9977;0,73
457,2242;0,81;472,4817;0,88;485,9977;0,73
456,5292;0,84;472,0467;0,9;485,8709;0,75
455,1805;0,89;471,6526;0,93;485,6941;0,79
455;0,89;471,3731;0,95;484,2763;0,82
453,7672;0,96;471,3306;0,96;483,9397;0,84
453,5029;0,97;471,1753;0,96;483,7658;0,85
453,2631;0,97;471,0588;0,97;483,5076;0,86
452,7684;1;470,5035;1;483,3332;0,88
452,4417;1,01;470,4751;1;483,2068;0,9
451,4752;1,06;470,4751;1;483,0329;0,53
451,1788;1,07;470,1466;1,03;483,0329;0,97
450,9932;1,08;470,1165;1,03;483,0329;0,97
450,4118;1,11;469,8705;1,05;482,9061;1,02
449,9854;1,13;469,1365;1,11;482,9061;1,02
449,3277;1,16;469,0965;1,12;482,9061;1,02
449,2105;1,17;468,4821;1,15;482,9061;1,02
448,4603;1,21;467,8489;1,21;482,9061;1,02
448,4282;1,21;467,7814;1,21;482,9061;1,02
448,1604;1,22;466,9862;1,27;482,8581;1,13
448;1,22;466,9114;1,27;482,7317;1,14
447,7385;1,24;466,6238;1,29;481,7751;1,23
447,7108;1,24;466,5331;1,29;481,6389;1,24
446,5366;1,3;466,5239;1,3;480,9751;1,27
446,5277;1,31;466,4346;1,31;480,8961;1,27
446;1,34;465,9492;1,34;480,7217;1,29
444,6549;1,4;464,89;1,42;480,684;1,29
444,5404;1,41;464,89;1,42;480,5004;1,34
444,5;1,41;464,8581;1,44;480,5004;1,34
443,2261;1,49;464;1,49;480,5004;1,34
441,65;1,57;463,9219;1,51;480,3736;1,37
441,65;1,57;463,5523;1,54;480,2285;1,44
441,3446;1,6;463,2557;1,56;480,1992;1,44
440,4467;1,66;463,2557;1,56;480,0728;1,46
440,4174;1,66;462,2674;1,65;480,0728;1,46
440;1,67;462,1284;1,67;479,7651;1,49
439,7074;1,7;461,9088;1,68;478,9846;1,51
439,5975;1,71;461,5942;1,71;478,9529;1,51
439,5521;1,71;461,5796;1,71;478,8581;1,52
439,4261;1,72;461,2979;1,73;478,7908;1,52
439;1,76;461,2085;1,74;478,4904;1,55
438,1778;1,8;461;1,74;478,4044;1,56
438;1,79;461;1,79;478,3733;1,56
438;1,82;460,9532;1,77;477,7095;1,63
438;1,84;460,9206;1,77;477,7095;1,63
438;1,84;460,8801;1,78;477,6611;1,66
438;1,84;460,3051;1,82;477,4083;1,71
437,2572;1,86;460;1,83;477,4083;1,71
437;1,89;459,9603;1,84;477,4083;1,71
436,8217;1,89;459,6417;1,88;477,4083;1,71
436,6363;1,9;459,4348;1,9;477,4083;1,71
436,4418;1,92;459,2503;1,91;477,2344;1,79
436,1877;1,93;459;1,9;477,2344;1,79
435,8565;1,96;459;1,94;477,108;1,85
435,4504;1,99;458,6756;1,96;477,108;1,85
434,9964;2,02;457,6944;2,05;477,108;1,85
434,8057;2,03;457,6252;2,06;477,108;1,85
434,6982;2,04;457,6252;2,06;476,6422;1,97
434,0658;2,08;457,3874;2,09;476,2465;1,99
433,9706;2,09;456,9703;2,13;475,4445;2,04
433,9706;2,09;456,6823;2,15;475,3983;2,05
433,6651;2,12;456,4219;2,18;475,3083;2,06
433,3194;2,15;456,1095;2,21;475,2244;2,07
432,5456;2,2;456,1095;2,21;475,177;2,08
432,3518;2,21;455,9716;2,23;475,1286;2,1
431,7395;2,26;455,6963;2,25;474,8859;2,14
431;2,36;455,6945;2,25;474,8758;2,15
430,8007;2,34;455,6876;2,25;474,8758;2,15
430,4082;2,37;455,6143;2,26;474,8758;2,15
430,3629;2,38;455,4164;2,27;474,8758;2,15
430,0816;2,4;455,4088;2,27;474,7019;2,21
429,9122;2,41;454,3472;2,38;474,7019;2,21
429,5928;2,44;454,3177;2,38;474,7019;2,21
429,4752;2,45;454,3153;2,38;474,699;2,24
429,3252;2,46;453,6924;2,44;474,5755;2,25
429,2205;2,47;453,4092;2,47;474,5755;2,25
429,0925;2,48;453,2107;2,49;474,5755;2,25
428,8814;2,5;453,0594;2,51;474,5755;2,25
428,8797;2,5;452,8577;2,53;474,3983;2,32
428,5927;2,52;452,8122;2,53;474,382;2,32
428,5192;2,53;452,6954;2,55;473,1069;2,4
428,4758;2,53;452,3658;2,58;473,0024;2,41
428,4547;2,53;451,4563;2,67;472,9805;2,42
428,3015;2,55;451,4014;2,68;472,6538;2,46
428,1828;2,56;451,3804;2,68;472,6063;2,47
427,9801;2,58;451,3171;2,69;472,2647;2,52
426,9945;2,66;451,3108;2,69;472,2122;2,52
426,5477;2,69;451,2328;2,69;472,1987;2,52
426,3967;2,71;451,2183;2,7;472,0428;2,54
425,6041;2,78;451,1988;2,7;472,0378;2,55
